mass_kg,velocity_kmh,angle_deg,a_pillar_thickness_mm,crumple_zone_length_m,yield_strength_mpa,section_height_mm,section_width_mm,year,vehicle_class_ev,vehicle_class_sedan,vehicle_class_suv,vehicle_class_truck,test_type_frontal,test_type_rollover,test_type_side
2143.9,49.1,8.7,1.29,0.843,399.7,167.5,116.2,2021.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1427.8,53.4,12.5,1.12,0.703,468.5,148.6,108.0,2022.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2793.2,55.0,93.5,1.66,0.87,390.8,179.2,116.7,2005.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1683.4,54.4,85.6,1.12,0.775,439.7,169.1,110.3,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1305.2,64.5,9.7,0.99,0.862,374.6,141.4,112.9,2019.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2114.4,43.3,91.0,1.46,0.891,453.5,158.2,116.6,2020.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2493.5,43.7,38.6,1.6,0.786,546.5,178.1,120.5,2019.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1732.3,45.7,27.7,1.24,0.897,456.1,146.5,108.6,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2746.5,52.9,85.2,1.47,0.791,469.2,183.9,127.6,2020.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2342.2,62.5,13.6,1.6,1.056,363.4,166.3,127.8,2009.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2186.7,57.3,9.5,1.74,0.732,513.8,179.9,112.8,2015.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1305.3,31.4,33.7,1.08,0.803,326.2,161.7,99.2,2023.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1723.0,55.0,3.3,1.41,0.829,490.9,142.5,100.8,2016.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2176.6,51.6,12.0,1.58,0.871,377.8,176.1,124.6,2011.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2066.2,60.8,2.4,1.02,0.809,441.3,164.6,115.4,2023.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2444.5,44.1,87.8,1.38,1.077,409.9,169.4,124.1,2010.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1267.9,32.1,39.2,1.23,0.944,405.0,167.3,102.7,2018.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2388.0,54.7,31.3,1.48,0.926,382.0,152.8,127.2,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2748.4,50.8,9.5,1.72,0.967,379.8,185.9,125.2,2003.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1905.8,49.7,22.9,1.17,0.79,434.1,148.9,108.9,2013.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2785.1,52.4,28.8,1.34,0.743,418.8,165.9,110.6,2014.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1687.1,54.9,43.5,1.23,0.835,411.1,154.5,96.5,2022.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2129.7,41.0,94.2,1.22,0.9,533.2,167.1,112.4,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
