crash_id,year,make,model,vehicle_class,test_type,mass_kg,velocity_kmh,angle_deg,a_pillar_thickness_mm,crumple_zone_length_m,yield_strength_mpa,section_height_mm,section_width_mm,hic,chest_g,intrusion_m,fatality_prob,ais_severity,crush_m,energy_absorbed_j,kinetic_energy_j,p_critical_n
NHTSA-2021-FR-0001,2021,Toyota,RAV4,suv,frontal,2143.9,49.1,8.7,1.29,0.843,399.7,167.5,116.2,594.57,28.99,0.0491,0.0038,1,0.3754,161970.9,199403.4,10921897.4
NHTSA-2022-FR-0002,2022,Nissan,Altima,sedan,frontal,1427.8,53.4,12.5,1.12,0.703,468.5,148.6,108.0,808.59,33.16,0.1158,0.024,2,0.3646,139646.1,157077.8,9835764.8
NHTSA-2005-SI-0003,2005,Ford,F-150,truck,side,2793.2,55.0,93.5,1.66,0.87,390.8,179.2,116.7,898.96,34.27,0.1663,0.1287,4,0.4625,276879.9,325981.1,49902379.0
NHTSA-2007-SI-0004,2007,Ford,Fusion,sedan,side,1683.4,54.4,85.6,1.12,0.775,439.7,169.1,110.3,1138.8,30.09,0.3703,1.0,5,0.4443,165128.9,192198.6,36008727.6
NHTSA-2019-FR-0005,2019,Honda,Accord,sedan,frontal,1305.2,64.5,9.7,0.99,0.862,374.6,141.4,112.9,866.04,29.93,0.1716,0.152,4,0.6031,177664.8,209489.1,5331181.9
NHTSA-2020-SI-0006,2020,Ford,Explorer,suv,side,2114.4,43.3,91.0,1.46,0.891,453.5,158.2,116.6,779.37,35.69,0.1886,0.2607,4,0.2452,130852.8,152942.4,31335461.7
NHTSA-2019-RO-0007,2019,Toyota,Tundra,truck,rollover,2493.5,43.7,38.6,1.6,0.786,546.5,178.1,120.5,673.73,45.3,0.0,0.0143,1,0.2042,159243.6,183711.9,23208699.8
NHTSA-2017-FR-0008,2017,GMC,Sierra,truck,frontal,2436.2,45.8,8.6,1.6,0.804,521.8,183.9,124.2,704.58,44.12,0.0284,0.0131,1,0.2149,165355.9,197155.5,19289079.3
NHTSA-2000-RO-0009,2000,Ford,Fusion,sedan,rollover,1732.3,45.7,27.7,1.24,0.897,456.1,146.5,108.6,854.8,34.38,0.0127,0.0054,2,0.2956,117413.8,139579.1,8198824.2
NHTSA-2020-SI-0010,2020,Chevrolet,Silverado,truck,side,2746.5,52.9,85.2,1.47,0.791,469.2,183.9,127.6,1207.34,39.09,0.2187,0.5636,5,0.3617,247369.4,296521.3,60562969.8
NHTSA-2009-FR-0011,2009,Rivian,R1T,ev,frontal,2342.2,62.5,13.6,1.6,1.056,363.4,166.3,127.8,1158.94,38.83,0.0601,0.015,3,0.4742,292995.3,352979.1,9013921.2
NHTSA-2004-RO-0012,2004,Ford,Fusion,sedan,rollover,1618.1,37.8,35.0,1.43,0.98,390.3,153.5,98.3,521.11,28.61,0.0,0.0022,1,0.2195,75919.8,89197.8,8223597.0
NHTSA-2015-FR-0013,2015,Ram,1500,truck,frontal,2186.7,57.3,9.5,1.74,0.732,513.8,179.9,112.8,1382.21,51.51,0.0297,0.0477,3,0.3024,234455.4,276989.6,22467640.8
NHTSA-2023-RO-0014,2023,Hyundai,Sonata,sedan,rollover,1305.3,31.4,33.7,1.08,0.803,326.2,161.7,99.2,279.97,23.02,0.0155,0.0014,1,0.1998,44327.8,49651.8,10606258.4
NHTSA-2016-FR-0015,2016,Toyota,Camry,sedan,frontal,1723.0,55.0,3.3,1.41,0.829,490.9,142.5,100.8,975.89,40.34,0.0704,0.0136,2,0.3546,163738.5,201083.1,7647574.2
NHTSA-2011-FR-0016,2011,Tesla,Model 3,ev,frontal,2176.6,51.6,12.0,1.58,0.871,377.8,176.1,124.6,855.4,39.03,0.052,0.0095,2,0.32,194185.2,223585.2,14698225.7
NHTSA-2023-FR-0017,2023,Honda,CR-V,suv,frontal,2066.2,60.8,2.4,1.02,0.809,441.3,164.6,115.4,687.38,27.65,0.0957,0.0115,1,0.6179,247903.9,294675.8,9007404.5
NHTSA-2010-SI-0018,2010,Chevrolet,Bolt,ev,side,2444.5,44.1,87.8,1.38,1.077,409.9,169.4,124.1,869.21,35.63,0.2374,0.7569,5,0.2798,155981.7,183413.9,24871811.9
NHTSA-2012-FR-0019,2012,GMC,Sierra,truck,frontal,2318.8,64.5,7.2,1.32,0.999,475.2,153.5,113.7,1042.63,36.75,0.0576,0.0107,2,0.5541,313974.4,372175.5,6389060.3
NHTSA-2018-RO-0020,2018,Toyota,Camry,sedan,rollover,1267.9,32.1,39.2,1.23,0.944,405.0,167.3,102.7,370.04,30.71,0.0091,0.0026,1,0.1439,45528.2,50403.4,9662021.2
NHTSA-2011-RO-0021,2011,Honda,CR-V,suv,rollover,2283.9,53.7,29.8,1.04,0.87,512.3,147.4,120.1,741.01,29.58,0.0006,0.0031,1,0.4638,217879.3,254091.8,7995596.7
NHTSA-2014-RO-0022,2014,Rivian,R1T,ev,rollover,2388.0,54.7,31.3,1.48,0.926,382.0,152.8,127.2,993.3,34.01,0.0,0.0066,2,0.4022,239666.4,275660.1,11268328.3
NHTSA-2003-FR-0023,2003,Ram,1500,truck,frontal,2748.4,50.8,9.5,1.72,0.967,379.8,185.9,125.2,721.47,41.87,0.0309,0.0104,1,0.3674,229546.4,273635.5,14751970.8
NHTSA-2013-RO-0024,2013,Chevrolet,Equinox,suv,rollover,1905.8,49.7,22.9,1.17,0.79,434.1,148.9,108.9,688.9,32.12,0.0,0.0036,1,0.3923,158077.0,181616.4,10394438.6
NHTSA-2014-RO-0025,2014,Ford,F-150,truck,rollover,2785.1,52.4,28.8,1.34,0.743,418.8,165.9,110.6,638.56,28.27,0.0,0.0024,1,0.4912,248066.6,295031.5,17459390.4
NHTSA-2022-RO-0026,2022,Chevrolet,Malibu,sedan,rollover,1687.1,54.9,43.5,1.23,0.835,411.1,154.5,96.5,614.54,26.71,0.006,0.0021,1,0.4981,167191.5,196178.1,9816992.3
NHTSA-2017-SI-0027,2017,Rivian,R1T,ev,side,2129.7,41.0,94.2,1.22,0.9,533.2,167.1,112.4,787.87,37.46,0.2981,0.9921,5,0.2014,115662.0,138118.3,28585800.6
NHTSA-2002-SI-0028,2002,Toyota,Camry,sedan,side,1260.3,57.8,89.9,0.97,0.982,443.9,157.8,102.3,1242.12,31.96,0.3676,1.0,5,0.4656,137233.4,162440.6,15745335.0
NHTSA-2010-FR-0029,2010,Honda,CR-V,suv,frontal,2265.7,56.5,14.5,1.4,1.036,484.9,148.9,113.0,891.63,38.46,0.0353,0.0086,2,0.4224,231149.0,279038.6,5834487.2
NHTSA-2021-RO-0030,2021,Hyundai,Tucson,suv,rollover,1949.6,32.4,44.6,1.27,0.974,430.8,169.7,123.2,348.56,28.61,0.0,0.002,1,0.147,66307.5,78958.8,10945278.1
NHTSA-2009-SI-0031,2009,Tesla,Model Y,ev,side,1869.0,36.5,86.9,1.58,1.013,479.2,158.7,114.8,602.18,51.33,0.2123,0.4995,4,0.1267,84133.0,96063.9,26080135.5
NHTSA-2018-FR-0032,2018,Hyundai,Tucson,suv,frontal,1767.3,47.9,2.6,1.49,0.975,421.9,150.2,117.7,760.53,42.84,0.0232,0.0115,1,0.263,134348.2,156439.5,7348657.2
NHTSA-2019-SI-0033,2019,GMC,Sierra,truck,side,2281.0,59.2,92.9,1.45,0.778,485.2,170.8,126.5,1593.05,40.35,0.2462,0.8392,5,0.3829,266955.0,308413.7,51666261.7
NHTSA-2017-RO-0034,2017,Ford,F-150,truck,rollover,2742.3,43.4,31.1,1.55,0.978,543.5,189.2,128.9,798.77,38.2,0.0,0.007,2,0.2138,170037.7,199278.0,17538248.1
NHTSA-2009-FR-0035,2009,Hyundai,Sonata,sedan,frontal,1534.7,52.2,8.1,1.38,0.781,461.1,146.7,95.6,808.67,34.4,0.0645,0.0076,2,0.3386,136549.5,161335.3,8716611.8
NHTSA-2009-FR-0036,2009,GMC,Sierra,truck,frontal,2198.8,61.0,11.6,1.78,0.996,374.7,157.8,128.0,1233.86,43.91,0.0369,0.0215,3,0.415,272933.8,315653.3,9955579.7
NHTSA-2011-RO-0037,2011,Hyundai,Ioniq 5,ev,rollover,2120.5,37.5,34.0,1.46,1.044,527.7,153.0,114.7,593.45,42.19,0.0,0.0098,1,0.1428,96665.9,115044.5,8152998.9
NHTSA-2015-RO-0038,2015,Toyota,RAV4,suv,rollover,2141.8,40.7,26.7,1.29,0.862,427.1,164.0,122.0,588.65,29.57,0.0,0.0026,1,0.2456,114435.4,136877.7,13014132.5
NHTSA-2016-FR-0039,2016,Ford,Mustang Mach-E,ev,frontal,2133.2,59.1,2.5,1.37,0.902,525.1,169.2,123.2,1357.67,52.43,0.063,0.0512,3,0.3332,240654.6,287456.1,10782423.8
NHTSA-2010-RO-0040,2010,Tesla,Model 3,ev,rollover,1950.0,54.4,38.9,1.45,0.968,365.2,150.1,126.2,1008.22,40.24,0.0,0.0107,2,0.3666,200436.1,222637.0,9646367.8
NHTSA-2000-RO-0041,2000,Hyundai,Sonata,sedan,rollover,1439.6,46.0,35.5,1.46,0.974,405.4,147.1,109.0,938.72,41.88,0.0032,0.0114,2,0.2377,97155.4,117522.9,8246830.1
NHTSA-2004-FR-0042,2004,Chevrolet,Silverado,truck,frontal,2202.2,45.1,5.2,1.69,0.947,506.1,186.0,118.7,696.81,52.13,0.0203,0.0328,3,0.202,150033.3,172812.4,14608574.8
NHTSA-2020-RO-0043,2020,Jeep,Grand Cherokee,suv,rollover,1816.3,34.9,29.9,1.45,0.794,398.7,148.8,116.6,423.06,34.4,0.0,0.0038,1,0.161,73675.4,85350.0,13276955.1
NHTSA-2006-RO-0044,2006,Chevrolet,Silverado,truck,rollover,2544.6,42.4,35.0,1.74,0.864,537.7,168.0,112.1,750.03,49.71,0.0,0.0246,3,0.1951,150196.6,176488.4,17288683.5
NHTSA-2009-FR-0045,2009,Toyota,Tundra,truck,frontal,2671.3,54.0,2.5,1.67,0.856,372.7,182.8,129.1,812.4,37.01,0.0472,0.0075,2,0.4152,261095.9,300521.2,17958656.6
NHTSA-2012-RO-0046,2012,Toyota,Tundra,truck,rollover,2758.8,41.6,32.1,1.34,0.817,466.1,157.8,119.1,595.6,29.69,0.0,0.0026,1,0.2777,156161.1,184192.5,13514678.1
NHTSA-2004-SI-0047,2004,Chevrolet,Bolt,ev,side,2039.7,50.2,94.4,1.34,1.038,490.5,165.5,124.5,1373.31,43.26,0.2253,0.6405,5,0.2673,173458.5,198307.3,24701280.3
NHTSA-2009-SI-0048,2009,Rivian,R1T,ev,side,2299.9,48.6,86.2,1.33,1.035,497.3,168.9,123.6,1129.45,41.68,0.2836,0.9793,5,0.2781,180798.8,209578.4,25729929.7
NHTSA-2011-SI-0049,2011,Nissan,Altima,sedan,side,1290.6,36.4,86.8,1.31,0.887,300.8,158.6,111.4,487.28,29.43,0.2811,0.9754,5,0.2031,56359.3,65972.0,27738516.6
NHTSA-2016-FR-0050,2016,Honda,Accord,sedan,frontal,1700.1,52.9,9.1,1.44,0.763,351.8,162.8,96.2,581.93,28.31,0.0791,0.007,1,0.4781,161388.1,183548.5,12234386.4
NHTSA-2010-SI-0051,2010,Ford,Fusion,sedan,side,1313.4,42.8,87.5,1.07,0.821,469.4,141.6,106.6,834.98,34.32,0.3593,0.9999,5,0.2314,79186.1,92821.7,19791911.4
NHTSA-2000-FR-0052,2000,Ford,F-150,truck,frontal,2370.7,57.2,8.5,1.14,0.869,558.4,168.2,128.7,1045.78,41.63,0.0822,0.0179,3,0.4031,256826.7,299249.7,9872761.3
NHTSA-2002-SI-0053,2002,Honda,CR-V,suv,side,1796.3,53.5,85.6,1.15,0.988,512.4,179.2,119.7,1450.88,40.55,0.2351,0.742,5,0.3349,165770.1,198358.8,27528350.8
NHTSA-2018-RO-0054,2018,Ford,F-150,truck,rollover,2730.7,43.2,31.2,1.62,0.952,461.1,160.3,128.9,733.23,39.47,0.0,0.0076,1,0.2372,168804.0,196610.4,13125043.6
NHTSA-2001-RO-0055,2001,Ford,Mustang Mach-E,ev,rollover,2408.4,46.9,41.3,1.36,0.867,353.9,177.7,110.8,567.24,30.98,0.0,0.0029,1,0.3971,176463.1,204380.4,15317465.5
NHTSA-2007-FR-0056,2007,Ram,1500,truck,frontal,2562.7,64.9,6.8,1.26,0.799,482.1,188.1,110.6,936.85,31.63,0.0872,0.0116,2,0.6507,367428.3,416439.7,15120963.7
NHTSA-2015-FR-0057,2015,Jeep,Grand Cherokee,suv,frontal,2119.9,53.4,8.2,1.18,0.909,450.3,163.5,111.5,561.98,28.56,0.0591,0.0044,1,0.4597,198813.0,233218.4,7911658.3
NHTSA-2006-FR-0058,2006,Chevrolet,Silverado,truck,frontal,2520.9,49.9,2.6,1.43,0.823,426.0,183.7,121.9,727.77,41.93,0.0514,0.0114,1,0.3459,197999.8,242170.8,16255144.6
NHTSA-2004-FR-0059,2004,GMC,Sierra,truck,frontal,2793.3,57.3,10.7,1.11,0.853,419.2,160.8,121.3,508.26,27.38,0.0993,0.0124,1,0.6568,308778.8,353827.7,8627259.9
