hic,chest_g,intrusion_m,fatality_prob,crush_m
594.57,28.99,0.0491,0.0038,0.3754
808.59,33.16,0.1158,0.024,0.3646
898.96,34.27,0.1663,0.1287,0.4625
1138.8,30.09,0.3703,1.0,0.4443
866.04,29.93,0.1716,0.152,0.6031
779.37,35.69,0.1886,0.2607,0.2452
673.73,45.3,0.0,0.0143,0.2042
854.8,34.38,0.0127,0.0054,0.2956
1207.34,39.09,0.2187,0.5636,0.3617
1158.94,38.83,0.0601,0.015,0.4742
1382.21,51.51,0.0297,0.0477,0.3024
279.97,23.02,0.0155,0.0014,0.1998
975.89,40.34,0.0704,0.0136,0.3546
855.4,39.03,0.052,0.0095,0.32
687.38,27.65,0.0957,0.0115,0.6179
869.21,35.63,0.2374,0.7569,0.2798
370.04,30.71,0.0091,0.0026,0.1439
993.3,34.01,0.0,0.0066,0.4022
721.47,41.87,0.0309,0.0104,0.3674
688.9,32.12,0.0,0.0036,0.3923
638.56,28.27,0.0,0.0024,0.4912
614.54,26.71,0.006,0.0021,0.4981
787.87,37.46,0.2981,0.9921,0.2014
891.63,38.46,0.0353,0.0086,0.4224
348.56,28.61,0.0,0.002,0.147
602.18,51.33,0.2123,0.4995,0.1267
760.53,42.84,0.0232,0.0115,0.263
1593.05,40.35,0.2462,0.8392,0.3829
798.77,38.2,0.0,0.007,0.2138
808.67,34.4,0.0645,0.0076,0.3386
588.65,29.57,0.0,0.0026,0.2456
1357.67,52.43,0.063,0.0512,0.3332
1008.22,40.24,0.0,0.0107,0.3666
696.81,52.13,0.0203,0.0328,0.202
750.03,49.71,0.0,0.0246,0.1951
812.4,37.01,0.0472,0.0075,0.4152
1129.45,41.68,0.2836,0.9793,0.2781
487.28,29.43,0.2811,0.9754,0.2031
581.93,28.31,0.0791,0.007,0.4781
834.98,34.32,0.3593,0.9999,0.2314
1045.78,41.63,0.0822,0.0179,0.4031
733.23,39.47,0.0,0.0076,0.2372
567.24,30.98,0.0,0.0029,0.3971
936.85,31.63,0.0872,0.0116,0.6507
561.98,28.56,0.0591,0.0044,0.4597
727.77,41.93,0.0514,0.0114,0.3459
